hunt_code,row_count,source_count,source_names,source_families,species,unit,weapon,has_core_metadata,has_any_high_conf,has_any_medium_conf,has_draw_source,has_harvest_source,audit_confidence,needs_manual_review,audit_reasons
BI6500,2,2,2024_le_oial_all.pdf; 24_bg-odds.pdf,harvest_or_results; limited_entry_bonus,Bison,Antelope Island,Any Legal Weapon,True,True,False,True,True,HIGH,False,
BI6503,3,3,2024_le_oial_all.pdf; 24_bg-odds.pdf; 24_bg_report.pdf,harvest_or_results; limited_entry_bonus,Bison,Henry Mtns,Any Legal Weapon,True,True,False,True,True,HIGH,False,
BI6504,3,3,2024_le_oial_all.pdf; 24_bg-odds.pdf; 24_bg_report.pdf,harvest_or_results; limited_entry_bonus,Bison,Henry Mtns,Any Legal Weapon,True,True,False,True,True,HIGH,False,
BI6505,3,3,2024_le_oial_all.pdf; 24_bg-odds.pdf; 24_bg_report.pdf,harvest_or_results; limited_entry_bonus,Bison,Henry Mtns,Any Legal Weapon,True,True,False,True,True,HIGH,False,
BI6506,3,3,2024_le_oial_all.pdf; 24_bg-odds.pdf; 24_bg_report.pdf,harvest_or_results; limited_entry_bonus,Bison,Henry Mtns,Any Legal Weapon,True,True,False,True,True,HIGH,False,
BI6509,3,3,2024_le_oial_all.pdf; 24_bg-odds.pdf; 24_bg_report.pdf,harvest_or_results; limited_entry_bonus,Bison,Henry Mtns,Archery,True,True,False,True,True,HIGH,False,
BI6516,3,3,2024_le_oial_all.pdf; 24_bg-odds.pdf; 24_bg_report.pdf,harvest_or_results; limited_entry_bonus,Bison,Henry Mtns,Any Legal Weapon,True,True,False,True,True,HIGH,False,
BI6528,3,3,2024_le_oial_all.pdf; 24_bg-odds.pdf; 24_bg_report.pdf,harvest_or_results; limited_entry_bonus,Bison,"Book Cliffs, Little Creek/South",Archery,True,True,False,True,True,HIGH,False,
BI6529,3,3,2024_le_oial_all.pdf; 24_bg-odds.pdf; 24_bg_report.pdf,harvest_or_results; limited_entry_bonus,Bison,"Book Cliffs, Little Creek/South",Any Legal Weapon,True,True,False,True,True,HIGH,False,
BI6532,3,3,2024_le_oial_all.pdf; 24_bg-odds.pdf; 24_bg_report.pdf,harvest_or_results; limited_entry_bonus,Bison,"Book Cliffs, Bitter Creek",Archery,True,True,False,True,True,HIGH,False,
BI6534,3,3,2024_le_oial_all.pdf; 24_bg-odds.pdf; 24_bg_report.pdf,harvest_or_results; limited_entry_bonus,Bison,"Book Cliffs, Bitter Creek",Any Legal Weapon,True,True,False,True,True,HIGH,False,
