hunt_code,hunt_name,sex_type,species,weapon,hunt_type,season,permits_2026_res,permits_2026_nr,permits_2026_total,source_file,permits_2025_res,permits_2025_nr,permits_2025_total,permit_overlay_source,permit_fill_note
DA1013,Mt Carmel CWMU,Antlerless,Deer,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,0,0,0,antlerless deer.xlsx,4,0,4,25_antlerless_drawing_odds_report.pdf,
DA1018,"Pine Valley, New Harmony",Antlerless,Deer,Archery,General Season,Aug 01 2025 - Aug 15 2025,,,15,antlerless deer.xlsx,15,1,16,hunt_join_2025.1.csv; 25_antlerless_drawing_odds_report.pdf,
DA1027,"East Canyon, Davis-North Salt Lake",Antlerless,Deer,Any Legal Weapon,General Season,Aug 01 2025 - Sep 15 2025,,,30,antlerless deer.xlsx,24,0,24,hunt_join_2025.1.csv; 25_antlerless_drawing_odds_report.pdf,
DA1030,"Nine Mile, Price River Valley",Antlerless,Deer,Archery,General Season,Aug 16 2025 - Sep 12 2025,,,25,antlerless deer.xlsx,19,1,20,hunt_join_2025.1.csv; 25_antlerless_drawing_odds_report.pdf,
DA1031,"Oquirrh-Stansbury, Settlement Cyn",Antlerless,Deer,Archery,General Season,Aug 16 2025 - Sep 12 2025,,,20,antlerless deer.xlsx,16,0,16,hunt_join_2025.1.csv; 25_antlerless_drawing_odds_report.pdf,
DA1033,"San Juan, Monticello",Antlerless,Deer,Archery,General Season,Aug 01 2025 - Sep 14 2025,,,10,antlerless deer.xlsx,4,0,4,hunt_join_2025.1.csv; 25_antlerless_drawing_odds_report.pdf,
DA1041,"Nine Mile, Green River Valley",Antlerless,Deer,Any Legal Weapon,General Season,Oct 04 2025 - Oct 26 2025,,,15,antlerless deer.xlsx,11,1,12,hunt_join_2025.1.csv; 25_antlerless_drawing_odds_report.pdf,
DA1042,"San Juan, Monticello",Antlerless,Deer,Archery,General Season,Nov 24 2025 - Dec 31 2025,,,5,antlerless deer.xlsx,4,0,4,hunt_join_2025.1.csv; 25_antlerless_drawing_odds_report.pdf,
DA1045,"Fillmore, Oak City",Antlerless,Deer,Archery,General Season,Aug 01 2025 - Sep 04 2025,,,20,antlerless deer.xlsx,16,0,16,hunt_join_2025.1.csv; 25_antlerless_drawing_odds_report.pdf,
DA1046,"Nine Mile, Price River Valley",Antlerless,Deer,Archery,General Season,Sep 13 2025 - Oct 12 2025,,,25,antlerless deer.xlsx,20,0,20,hunt_join_2025.1.csv; 25_antlerless_drawing_odds_report.pdf,
DA1047,Vernal-Ouray Valley,Antlerless,Deer,Any Legal Weapon,General Season,Sep 27 2025 - Dec 12 2025,,,25,antlerless deer.xlsx,18,2,20,hunt_join_2025.1.csv; 25_antlerless_drawing_odds_report.pdf,
DA1048,Fillmore City,Antlerless,Deer,Archery,General Season,Aug 01 2025 - Sep 04 2025,,,15,antlerless deer.xlsx,12,0,12,hunt_join_2025.1.csv; 25_antlerless_drawing_odds_report.pdf,
DA1049,"Vernal, Ashley Valley",Antlerless,Deer,Archery,General Season,Aug 16 2025 - Dec 12 2025,,,35,antlerless deer.xlsx,27,1,28,hunt_join_2025.1.csv; 25_antlerless_drawing_odds_report.pdf,
DA1050,The Rose of Snowville CWMU,Antlerless,Deer,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,0,0,0,antlerless deer.xlsx,7,0,7,25_antlerless_drawing_odds_report.pdf,
DB0001,Southeastern Navajo Buck Deer,Male Only,Deer,Any Legal Weapon,Tribal,"Oct 18, 2025 - Oct 26, 2025",,,,BUCK DEER.csv,,,,,No public DWR permit count found in provided sources; tribal hunt.
DB0002,Southeastern Navajo Buck Deer,Male Only,Deer,Archery,Tribal,"Aug 16, 2025 - Sept 12, 2025",,,,BUCK DEER.csv,,,,,No public DWR permit count found in provided sources; tribal hunt.
DB0003,Southeastern Navajo Buck Deer,Male Only,Deer,Muzzleloader,Tribal,"Sept 24 - Oct 2, 2025",,,,BUCK DEER.csv,,,,,No public DWR permit count found in provided sources; tribal hunt.
DB0004,Southern Navajo Buck Deer,Male Only,Deer,Any Legal Weapon,Tribal,"Oct 18, 2025 - Oct 26, 2025",,,,BUCK DEER.csv,,,,,No public DWR permit count found in provided sources; tribal hunt.
DB0005,Southern Navajo Buck Deer,Male Only,Deer,Archery,Tribal,"Aug 16, 2025 - Sept 12, 2025",,,,BUCK DEER.csv,,,,,No public DWR permit count found in provided sources; tribal hunt.
DB0006,Southern Navajo Buck Deer,Male Only,Deer,Muzzleloader,Tribal,"Sept 24 - Oct 2, 2025",,,,BUCK DEER.csv,,,,,No public DWR permit count found in provided sources; tribal hunt.
DB0007,Buck Deer - Statewide Permit,Male Only,Deer,Any Legal Weapon,Statewide,"Archery: Aug 15 - Aug 31, 2026 | ALW: Sept 1, 2026 - Jan 15, 2027",,,,BUCK DEER.csv,,,,,No hunt-code permit count published in provided sources; statewide/special permit.
DB0008,Extended Archery Deer,Hunter's Choice,Deer,Archery,Extended Archery,"Sept 12-Oct 15, 2026 -OR- Sept 12-Nov 30, 2026 | See guidebook for units & dates",,,2000,deer hunter's choice.xlsx,,,,,
DB0009,Antelope Island - Conservation/Expo,Male Only,Deer,Any Legal Weapon,Premium Limited Entry,"Nov 9, 2026 - Nov 16, 2026",,,,BUCK DEER.csv,,,,,No numeric permit count found in the provided sources.
DB0010,Southern Paiute Buck Deer (early),Male Only,Deer,Any Legal Weapon,Tribal,"Oct 18, 2025 - Oct 26, 2025",,,,BUCK DEER.csv,,,,,No public DWR permit count found in provided sources; tribal hunt.
DB0011,Southern Paiute Buck Deer,Male Only,Deer,Archery,Tribal,"Aug 16, 2025 - Sept 12, 2025",,,,BUCK DEER.csv,,,,,No public DWR permit count found in provided sources; tribal hunt.
DB0012,Southern Paiute Buck Deer,Male Only,Deer,Muzzleloader,Tribal,"Sept 24 - Oct 2, 2025",,,,BUCK DEER.csv,,,,,No public DWR permit count found in provided sources; tribal hunt.
DB0013,Southern Paiute Buck Deer (late),Male Only,Deer,Any Legal Weapon,Tribal,"Oct 18, 2025 - Oct 26, 2025",,,,BUCK DEER.csv,,,,,No public DWR permit count found in provided sources; tribal hunt.
DB1000,Henry Mtns,Male Only,Deer,Archery,Premium Limited Entry,Aug 15 2026 - Sept 11 2026,8,1,9,buck_deer.xlsx,8,1,9,hunt_join_2025.1.csv; 25_bg-odds.pdf,
DB1001,Paunsaugunt,Male Only,Deer,Archery,Premium Limited Entry,Aug 15 2026 - Sept 11 2026,26,3,29,buck_deer.xlsx,25,3,28,hunt_join_2025.1.csv; 25_bg-odds.pdf,
DB1002,Antelope Island,Male Only,Deer,Any Legal Weapon,Premium Limited Entry,Nov 11 2026 - Nov 18 2026,1,0,1,buck_deer.xlsx,1,0,1,hunt_join_2025.1.csv,
DB1003,Henry Mtns,Male Only,Deer,Any Legal Weapon,Premium Limited Entry,Oct 17 2026 - Oct 25 2026,24,3,27,buck_deer.xlsx,22,3,25,hunt_join_2025.1.csv,
DB1004,Paunsaugunt,Male Only,Deer,Any Legal Weapon,Premium Limited Entry,Oct 17 2026 - Oct 31 2026,75,8,83,buck_deer.xlsx,73,7,80,hunt_join_2025.1.csv; 25_bg-odds.pdf,
DB1005,Henry Mtns,Male Only,Deer,Muzzleloader,Premium Limited Entry,Sept 23 2026 - Oct 01 2026,8,1,9,buck_deer.xlsx,8,1,9,hunt_join_2025.1.csv; 25_bg-odds.pdf,
DB1006,Paunsaugunt,Male Only,Deer,Muzzleloader,Premium Limited Entry,Sept 23 2026 - Oct 01 2026,26,3,29,buck_deer.xlsx,25,3,28,hunt_join_2025.1.csv; 25_bg-odds.pdf,
DB1007,Henry Mtns,Male Only,Deer,Multiseason,Premium Limited Entry,"Archery: Aug 15-Sept 11, 2026 | Muzz: Sept 23-Oct 1, 2026 | ALW: Oct 17-Oct 25, 2026",1,0,1,buck_deer.xlsx,1,0,1,hunt_join_2025.1.csv; 25_bg-odds.pdf,
DB1008,Paunsaugunt,Male Only,Deer,Multiseason,Premium Limited Entry,"Archery: Aug 15-Sept 11, 2026 | Muzz: Sept 23-Oct 1, 2026 | ALW: Oct 17-Oct 31, 2026",3,1,4,buck_deer.xlsx,3,1,4,hunt_join_2025.1.csv; 25_bg-odds.pdf,
DB1009,Henry Mtns (Management Buck Deer),Male Only,Deer,Any Legal Weapon,Management Buck Deer,Oct 26 2026 - Oct 30 2026,10,1,11,buck_deer.xlsx,10,1,11,hunt_join_2025.1.csv; 25_bg-odds.pdf,
DB1010,Paunsaugunt,Male Only,Deer,Any Legal Weapon,Management Buck Deer,Nov 02 2026 - Nov 20 2026,30,3,33,buck_deer.xlsx,23,3,26,hunt_join_2025.1.csv; 25_bg-odds.pdf,
DB1011,Book Cliffs,Male Only,Deer,Archery,Limited Entry,Aug 15 2026 - Sept 11 2026,55,6,61,buck_deer.xlsx,44,4,48,hunt_join_2025.1.csv; 25_bg-odds.pdf,
DB1012,"Fillmore, Oak Creek LE",Male Only,Deer,Archery,Limited Entry,Aug 15 2026 - Sept 11 2026,12,1,13,buck_deer.xlsx,11,1,12,hunt_join_2025.1.csv; 25_bg-odds.pdf,
DB1013,Dolores Triangle,Male Only,Deer,Archery,Limited Entry,Oct 31 2026 - Nov 13 2026,5,0,5,buck_deer.xlsx,4,0,4,hunt_join_2025.1.csv; 25_bg-odds.pdf,
DB1014,"San Juan, Elk Ridge",Male Only,Deer,Archery,Limited Entry,Aug 15 2026 - Sept 11 2026,15,2,17,buck_deer.xlsx,14,2,16,hunt_join_2025.1.csv; 25_bg-odds.pdf,
DB1015,Diamond Mtn,Male Only,Deer,Archery,Limited Entry,Aug 15 2026 - Sept 11 2026,22,2,24,buck_deer.xlsx,19,2,21,hunt_join_2025.1.csv; 25_bg-odds.pdf,
DB1016,"West Desert, Vernon",Male Only,Deer,Archery,Limited Entry,Aug 15 2026 - Sept 11 2026,46,5,51,buck_deer.xlsx,39,4,43,hunt_join_2025.1.csv; 25_bg-odds.pdf,
DB1017,"Book Cliffs, North",Male Only,Deer,Any Legal Weapon,Limited Entry,Oct 17 2026 - Oct 25 2026,137,15,152,buck_deer.xlsx,111,12,123,hunt_join_2025.1.csv; 25_bg-odds.pdf,
DB1018,"Book Cliffs, South",Male Only,Deer,Any Legal Weapon,Limited Entry,Oct 17 2026 - Oct 25 2026,34,4,38,buck_deer.xlsx,27,2,29,hunt_join_2025.1.csv; 25_bg-odds.pdf,
DB1019,"Fillmore, Oak Creek LE",Male Only,Deer,Any Legal Weapon,Limited Entry,Oct 17 2026 - Oct 25 2026,33,4,37,buck_deer.xlsx,29,3,32,hunt_join_2025.1.csv; 25_bg-odds.pdf,
DB1020,Dolores Triangle,Male Only,Deer,Any Legal Weapon,Limited Entry,Nov 14 2026 - Nov 22 2026,13,2,15,buck_deer.xlsx,11,1,12,hunt_join_2025.1.csv; 25_bg-odds.pdf,
DB1022,"San Juan, Elk Ridge",Male Only,Deer,Any Legal Weapon,Limited Entry,Oct 17 2026 - Oct 25 2026,42,5,47,buck_deer.xlsx,39,3,42,hunt_join_2025.1.csv; 25_bg-odds.pdf,
DB1023,Diamond Mtn,Male Only,Deer,Any Legal Weapon,Limited Entry,Oct 17 2026 - Oct 25 2026,61,7,68,buck_deer.xlsx,55,5,60,hunt_join_2025.1.csv; 25_bg-odds.pdf,
DB1024,"West Desert, Vernon",Male Only,Deer,Any Legal Weapon,Limited Entry,Oct 17 2026 - Oct 25 2026,130,14,144,buck_deer.xlsx,115,12,127,hunt_join_2025.1.csv; 25_bg-odds.pdf,
DB1025,Book Cliffs,Male Only,Deer,Muzzleloader,Limited Entry,Sept 23 2026 - Oct 01 2026,55,6,61,buck_deer.xlsx,43,4,47,hunt_join_2025.1.csv; 25_bg-odds.pdf,
DB1026,"Cache, Crawford Mtn",Male Only,Deer,Muzzleloader,Limited Entry,Nov 07 2026 - Nov 22 2026,8,1,9,buck_deer.xlsx,6,1,7,hunt_join_2025.1.csv; 25_bg-odds.pdf,
DB1028,Fillmore,Male Only,Deer,Muzzleloader,Limited Entry,Oct 28 2026 - Nov 05 2026,11,1,12,buck_deer.xlsx,10,1,11,hunt_join_2025.1.csv; 25_bg-odds.pdf,
DB1029,"Fillmore, Oak Creek LE",Male Only,Deer,Muzzleloader,Limited Entry,Sept 23 2026 - Oct 01 2026,12,1,13,buck_deer.xlsx,11,1,12,hunt_join_2025.1.csv; 25_bg-odds.pdf,
DB1030,Kamas,Male Only,Deer,Muzzleloader,Limited Entry,Oct 28 2026 - Nov 05 2026,4,1,5,buck_deer.xlsx,5,1,6,hunt_join_2025.1.csv; 25_bg-odds.pdf,
DB1031,Dolores Triangle,Male Only,Deer,Muzzleloader,Limited Entry,Nov 23 2026 - Dec 01 2026,5,0,5,buck_deer.xlsx,4,0,4,hunt_join_2025.1.csv; 25_bg-odds.pdf,
DB1032,Monroe,Male Only,Deer,Muzzleloader,Limited Entry,Oct 28 2026 - Nov 05 2026,5,1,6,buck_deer.xlsx,5,1,6,hunt_join_2025.1.csv; 25_bg-odds.pdf,
DB1033,Nine Mile,Male Only,Deer,Muzzleloader,Limited Entry,Oct 28 2026 - Nov 05 2026,6,1,7,buck_deer.xlsx,6,1,7,hunt_join_2025.1.csv; 25_bg-odds.pdf,
DB1034,Pine Valley,Male Only,Deer,Muzzleloader,Limited Entry,Oct 28 2026 - Nov 05 2026,13,2,15,buck_deer.xlsx,12,2,14,hunt_join_2025.1.csv; 25_bg-odds.pdf,
DB1037,"San Juan, Elk Ridge",Male Only,Deer,Muzzleloader,Limited Entry,Sept 23 2026 - Oct 01 2026,15,2,17,buck_deer.xlsx,14,2,16,hunt_join_2025.1.csv; 25_bg-odds.pdf,
DB1038,Diamond Mtn,Male Only,Deer,Muzzleloader,Limited Entry,Sept 23 2026 - Oct 01 2026,22,2,24,buck_deer.xlsx,19,2,21,hunt_join_2025.1.csv; 25_bg-odds.pdf,
DB1039,Yellowstone,Male Only,Deer,Muzzleloader,Limited Entry,Oct 28 2026 - Nov 05 2026,6,1,7,buck_deer.xlsx,6,1,7,hunt_join_2025.1.csv; 25_bg-odds.pdf,
DB1040,Southwest Desert,Male Only,Deer,Muzzleloader,Limited Entry,Oct 28 2026 - Nov 05 2026,4,1,5,buck_deer.xlsx,4,1,5,hunt_join_2025.1.csv; 25_bg-odds.pdf,
DB1041,"Wasatch Mtns, East",Male Only,Deer,Muzzleloader,Limited Entry,Oct 28 2026 - Nov 05 2026,30,3,33,buck_deer.xlsx,26,3,29,hunt_join_2025.1.csv; 25_bg-odds.pdf,
DB1042,"West Desert, Vernon",Male Only,Deer,Muzzleloader,Limited Entry,Sept 23 2026 - Oct 01 2026,46,5,51,buck_deer.xlsx,40,4,44,hunt_join_2025.1.csv; 25_bg-odds.pdf,
DB1043,Zion,Male Only,Deer,Muzzleloader,Limited Entry,Oct 28 2026 - Nov 05 2026,15,2,17,buck_deer.xlsx,12,2,14,hunt_join_2025.1.csv; 25_bg-odds.pdf,
DB1044,Book Cliffs,Male Only,Deer,Multiseason,Limited Entry,"Archery: Aug 15-Sept 11, 2026 | Muzz: Sept 23-Oct 1, 2026 | ALW: Oct 17-25, 2026",8,1,9,buck_deer.xlsx,6,1,7,hunt_join_2025.1.csv; 25_bg-odds.pdf,
DB1045,"Fillmore, Oak Creek LE",Male Only,Deer,Multiseason,Limited Entry,"Archery: Aug 15-Sept 11, 2026 | Muzz: Sept 23-Oct 1, 2026 | ALW: Oct 17-Oct 25, 2026",2,0,2,buck_deer.xlsx,2,0,2,hunt_join_2025.1.csv; 25_bg-odds.pdf,
DB1046,"San Juan, Elk Ridge",Male Only,Deer,Multiseason,Limited Entry,"Archery: Aug 15-Sept 11, 2026 | Muzz: Sept 23-Oct 1, 2026 | ALW: Oct 17-Oct 25, 2026",2,0,2,buck_deer.xlsx,2,0,2,hunt_join_2025.1.csv; 25_bg-odds.pdf,
DB1047,Diamond Mtn,Male Only,Deer,Multiseason,Limited Entry,"Archery: Aug 15-Sept 11, 2026 | Muzz: Sept 23-Oct 1, 2026 | ALW: Oct 17-Oct 25, 2026",4,0,4,buck_deer.xlsx,3,0,3,hunt_join_2025.1.csv; 25_bg-odds.pdf,
DB1048,"West Desert, Vernon",Male Only,Deer,Multiseason,Limited Entry,"Archery: Aug 15-Sept 11, 2026 | Muzz: Sept 23-Oct 1, 2026 | ALW: Oct 17-Oct 25, 2026",7,1,8,buck_deer.xlsx,6,1,7,hunt_join_2025.1.csv; 25_bg-odds.pdf,
DB1053,Mt Dutton,Male Only,Deer,Muzzleloader,Limited Entry,Oct 28 2026 - Nov 05 2026,4,1,5,buck_deer.xlsx,4,1,5,hunt_join_2025.1.csv; 25_bg-odds.pdf,
DB1054,Ogden,Male Only,Deer,Muzzleloader,Limited Entry,Oct 28 2026 - Nov 05 2026,13,1,14,buck_deer.xlsx,11,1,12,hunt_join_2025.1.csv; 25_bg-odds.pdf,
DB1055,Fishlake,Male Only,Deer,Muzzleloader,Limited Entry,Oct 28 2026 - Nov 05 2026,6,1,7,buck_deer.xlsx,5,1,6,hunt_join_2025.1.csv; 25_bg-odds.pdf,
DB1056,Book Cliffs (North & South),Male Only,Deer,Any Legal Weapon,Conservation,"Oct 17, 2026 - Oct 25, 2026",1,,1,BUCK DEER.csv,,,,,
DB1058,Paunsaugunt,Male Only,Deer,Any Legal Weapon,Cactus Buck,Nov 02 2026 - Nov 20 2026,18,2,20,buck_deer.xlsx,27,3,30,hunt_join_2025.1.csv; 25_bg-odds.pdf,
DB1065,North Slope,Male Only,Deer,Muzzleloader,Limited Entry,Oct 28 2026 - Nov 05 2026,14,2,16,buck_deer.xlsx,13,2,15,hunt_join_2025.1.csv; 25_bg-odds.pdf,
DB1073,Paunsaugunt,Male Only,Deer,Archery,Management Buck Deer,Aug 15 2026 - Sept 11 2026,10,1,11,buck_deer.xlsx,8,1,9,hunt_join_2025.1.csv; 25_bg-odds.pdf,
DB1074,Paunsaugunt,Male Only,Deer,Muzzleloader,Management Buck Deer,Sept 23 2026 - Oct 01 2026,10,1,11,buck_deer.xlsx,8,1,9,hunt_join_2025.1.csv; 25_bg-odds.pdf,
DB1075,Book Cliffs (North & South),Male Only,Deer,Archery,Conservation,Aug 16 2025 - Sept 12 2025,1,,1,BUCK DEER.csv,,,,,
DB1076,Book Cliffs (North & South),Male Only,Deer,Muzzleloader,Conservation,Sept 24 2025 - Oct 02 2025,1,,1,BUCK DEER.csv,,,,,
DB1077,Box Elder,Male Only,Deer,Muzzleloader,Limited Entry,Oct 28 2026 - Nov 05 2026,23,3,26,buck_deer.xlsx,22,3,25,hunt_join_2025.1.csv; 25_bg-odds.pdf,
DB1078,Cache,Male Only,Deer,Muzzleloader,Limited Entry,Oct 28 2026 - Nov 05 2026,11,1,12,buck_deer.xlsx,9,1,10,hunt_join_2025.1.csv; 25_bg-odds.pdf,
DB1079,Manti/San Rafael,Male Only,Deer,Muzzleloader,Limited Entry,Oct 28 2026 - Nov 05 2026,40,5,45,buck_deer.xlsx,37,4,41,hunt_join_2025.1.csv; 25_bg-odds.pdf,
DB1080,Nebo,Male Only,Deer,Muzzleloader,Limited Entry,Oct 28 2026 - Nov 05 2026,23,3,26,buck_deer.xlsx,22,3,25,hunt_join_2025.1.csv; 25_bg-odds.pdf,
DB1081,La Sal Mtns,Male Only,Deer,Muzzleloader,Limited Entry,Oct 28 2026 - Nov 05 2026,8,1,9,buck_deer.xlsx,8,1,9,hunt_join_2025.1.csv; 25_bg-odds.pdf,
DB1083,Panguitch Lake,Male Only,Deer,Muzzleloader,Limited Entry,Oct 28 2026 - Nov 05 2026,12,1,13,buck_deer.xlsx,11,1,12,hunt_join_2025.1.csv; 25_bg-odds.pdf,
DB1084,Boulder/Kaiparowits,Male Only,Deer,Muzzleloader,Limited Entry,Oct 28 2026 - Nov 05 2026,12,1,13,buck_deer.xlsx,11,1,12,hunt_join_2025.1.csv; 25_bg-odds.pdf,
DB1085,"San Juan, Abajo Mtns",Male Only,Deer,Muzzleloader,Limited Entry,Oct 28 2026 - Nov 05 2026,13,1,14,buck_deer.xlsx,12,1,13,hunt_join_2025.1.csv; 25_bg-odds.pdf,
DB1086,Vernal/Bonanza,Male Only,Deer,Muzzleloader,Limited Entry,Oct 28 2026 - Nov 05 2026,6,1,7,buck_deer.xlsx,5,1,6,hunt_join_2025.1.csv; 25_bg-odds.pdf,
DB1087,"Wasatch Mtns, West",Male Only,Deer,Muzzleloader,Limited Entry,Oct 28 2026 - Nov 05 2026,36,4,40,buck_deer.xlsx,29,3,32,hunt_join_2025.1.csv; 25_bg-odds.pdf,
DB1090,"Book Cliffs, Floy Canyon",Male Only,Deer,Archery,Limited Entry,Nov 07 2026 - Nov 30 2026,6,1,7,buck_deer.xlsx,6,1,7,hunt_join_2025.1.csv; 25_bg-odds.pdf,
DB1091,Kaiparowits HAMSS,Male Only,Deer,Archery,Limited Entry,Nov 07 2026 - Nov 30 2026,4,1,5,buck_deer.xlsx,4,1,5,hunt_join_2025.1.csv; 25_bg-odds.pdf,
DB1100,Chalk Creek,Male Only,Deer,Muzzleloader,Limited Entry,Oct 28 2026 - Nov 05 2026,10,1,11,buck_deer.xlsx,10,1,11,hunt_join_2025.1.csv; 25_bg-odds.pdf,
DB1101,East Canyon,Male Only,Deer,Muzzleloader,Limited Entry,Oct 28 2026 - Nov 05 2026,9,1,10,buck_deer.xlsx,9,1,10,hunt_join_2025.1.csv; 25_bg-odds.pdf,
