hunt_code,hunt_name,sex_type,species,weapon,hunt_type,season,permits_2026_res,permits_2026_nr,permits_2026_total,source_file,permits_2025_res,permits_2025_nr,permits_2025_total,permit_overlay_source,permit_fill_note
BI1000,Bison - Statewide Permit,Hunter's Choice,Bison,Any Legal Weapon,Statewide,"Aug 1, 2026 - Jan 31, 2027",,,,bison bull.csv,,,,,No hunt-code permit count published in provided sources; statewide/special permit.
BI6500,Antelope Island,Hunter's Choice,Bison,Any Legal Weapon,Once-in-a-lifetime,Dec 07 2026 - Dec 09 2026,2,0,2,bison bull.xlsx,2,0,2,hunt_join_2025.1.csv,
BI6503,Henry Mtns,Hunter's Choice,Bison,Any Legal Weapon,Once-in-a-lifetime,Oct 28 2026 - Nov 8 2026,4,2,6,bison bull.xlsx,5,2,7,hunt_join_2025.1.csv,
BI6504,Henry Mtns,Hunter's Choice,Bison,Any Legal Weapon,Once-in-a-lifetime,Nov 11 2026 - Nov 22 2026,5,2,7,bison bull.xlsx,5,2,7,hunt_join_2025.1.csv,
BI6505,Henry Mtns,Antlerless,Bison,Any Legal Weapon,Once-in-a-lifetime,Dec 9 2026 - Dec 20 2026,8,3,11,bison  cow.xlsx,25,4,29,hunt_join_2025.1.csv,
BI6506,Henry Mtns,Antlerless,Bison,Any Legal Weapon,Once-in-a-lifetime,"Dec 23, 2026 - Jan 3, 2027",11,0,11,bison  cow.xlsx,30,0,30,hunt_join_2025.1.csv,
BI6509,Henry Mtns,Hunter's Choice,Bison,Archery,Once-in-a-lifetime,"Jan 18 - 31, 2027",5,0,5,bison bull.xlsx,4,0,4,hunt_join_2025.1.csv,
BI6516,Henry Mtns,Hunter's Choice,Bison,Any Legal Weapon,Once-in-a-lifetime,Nov 25 2026 - Dec 6 2026,6,0,6,bison bull.xlsx,5,0,5,hunt_join_2025.1.csv,
BI6527,Nine Mile,Hunter's Choice,Bison,Any Legal Weapon,General Season,"Aug 1, 2025 - Jan 31, 2026",,,Unlimited,bison bull.csv,,,,,2026 OIAL bison table lists Nine Mile OTC as Unlimited permits.
BI6528,"Book Cliffs, Little Creek/South",Hunter's Choice,Bison,Archery,Once-in-a-lifetime,Aug 15 2026 - Sept 11 2026,5,0,5,bison bull.xlsx,5,0,5,hunt_join_2025.1.csv,
BI6529,"Book Cliffs, Little Creek/South",Antlerless,Bison,Any Legal Weapon,Once-in-a-lifetime,Oct 17 2026 - Oct 27 2026,8,0,8,bison  cow.xlsx,8,0,8,hunt_join_2025.1.csv,
BI6531,"Book Cliffs, Little Creek/South",Hunter's Choice,Bison,Any Legal Weapon,Once-in-a-lifetime,Sept 21 2026 - Oct 02 2026,10,0,10,bison bull.xlsx,8,0,8,hunt_join_2025.1.csv,
BI6532,"Book Cliffs, Bitter Creek",Hunter's Choice,Bison,Archery,Once-in-a-lifetime,Aug 15 2026 - Sept 11 2026,5,0,5,bison bull.xlsx,5,0,5,hunt_join_2025.1.csv,
BI6534,"Book Cliffs, Bitter Creek",Hunter's Choice,Bison,Any Legal Weapon,Once-in-a-lifetime,Sept 12 2026 - Sept 20 2026,10,0,10,bison bull.xlsx,5,0,5,hunt_join_2025.1.csv,
BI6535,"Book Cliffs, Bitter Creek",Hunter's Choice,Bison,Any Legal Weapon,Once-in-a-lifetime,Oct 03 2026 - Oct 15 2026,8,0,8,bison bull.xlsx,5,0,5,hunt_join_2025.1.csv,
BI6536,"Book Cliffs, Bitter Creek",Antlerless,Bison,Any Legal Weapon,Once-in-a-lifetime,Nov 14 2026 - Nov 29 2026,15,0,15,bison  cow.xlsx,3,0,3,hunt_join_2025.1.csv,
BI6537,"Book Cliffs, Little Creek/South",Hunter's Choice,Bison,Any Legal Weapon,Once-in-a-lifetime,Nov 07 2026 - Jan 31 2027,8,7,15,bison bull.xlsx,5,5,10,hunt_join_2025.1.csv,
BI6538,"Nine Mile, Private Lands Only",Hunter's Choice,Bison,Any Legal Weapon,General Season,"Aug 1, 2025 - Jan 31, 2026 | Harvest survey due by Feb 15, 2026 Visit: http://wildlife.utah.gov/harvest to submit your survey",,,,bison bull.csv,,,,,No numeric permit count found in the provided sources.
BI6539,Henry Mtns,Antlerless,Bison,Any Legal Weapon,Once-in-a-lifetime,"Jan 6 - 17, 2027",11,0,11,bison  cow.xlsx,,,,hunt_join_2025.1.csv,
BR1000,Black Bear - Statewide Permit,Either Sex,Black Bear,Any Legal Weapon,Statewide,Any open season on any open bear unit during the 2026 season. See 2026 Black Bear Guidebook for season dates,,,,black bear.csv,,,,,No hunt-code permit count published in provided sources; statewide/special permit.
BR1007,Black Bear Pursuit - Resident,Either Sex,Black Bear,Pursuit Only,Pursuit,"Spring: Mar 28-May 25, 2026 | Summer: July 5-July 31, 2026 | Fall: Nov 2-8, 2026",,,,black bear.csv,,,,,Pursuit hunt; no numeric permit count found in provided sources.
CG9999,Cougar - Statewide,Either Sex,Cougar,Any Legal Weapon,Statewide,open,,,,cougar.csv,,,,,No hunt-code permit count published in provided sources; statewide/special permit.
DA1001,"Box Elder, West Bear River",Antlerless,Deer,Archery,General Season,Aug 18 2025 - Aug 30 2025,,,30,antlerless deer.xlsx,24,0,24,hunt_join_2025.1.csv; 25_antlerless_drawing_odds_report.pdf,
DA1002,"Box Elder, West Bear River",Antlerless,Deer,Archery,General Season,Nov 24 2025 - Nov 29 2025,,,30,antlerless deer.xlsx,24,0,24,hunt_join_2025.1.csv; 25_antlerless_drawing_odds_report.pdf,
DA1003,"Monroe/Plateau, Sevier Valley",Antlerless,Deer,Archery,General Season,Sep 01 2025 - Sep 30 2025,,,15,antlerless deer.xlsx,11,1,12,hunt_join_2025.1.csv; 25_antlerless_drawing_odds_report.pdf,
DA1009,"Pine Valley, Enterprise",Antlerless,Deer,Any Legal Weapon,General Season,Aug 01 2025 - Aug 15 2025,,,20,antlerless deer.xlsx,20,0,20,hunt_join_2025.1.csv; 25_antlerless_drawing_odds_report.pdf,
DA1011,George Creek CWMU,Antlerless,Deer,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,0,0,0,antlerless deer.xlsx,4,0,4,25_antlerless_drawing_odds_report.pdf,
DA1012,Junction Valley CWMU,Antlerless,Deer,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,0,0,0,antlerless deer.xlsx,12,0,12,25_antlerless_drawing_odds_report.pdf,
