hunt_code,residency,user_points,species,unit,weapon,public_permits_2025,public_permits_2026,max_point_permits,random_permits,guaranteed_at,current_guaranteed_at,guaranteed_delta_2025_to_2026,permit_delta_2025_to_2026,applicants_above,applicants_at_point,projected_draw_odds,gap_to_guaranteed,delta_gap,trend,trend_label,hunt_point_summary_title,hunt_point_summary_guaranteed,hunt_point_summary_points,hunt_point_summary_status,hunt_point_summary_odds,hunt_point_summary_trend
BI6500,Nonresident,32,Bison,Antelope Island,Any Legal Weapon,,,0,0,0,,0,0,0,0,0.000,-32,-1,GREEN,Catching Up,HUNT POINT SUMMARY,Guaranteed At: 0 pts,Your Points: 32 pts,Status: 32 pts above guaranteed,Estimated Draw Odds: 0.000% from remaining pool,Trend: GREEN
BI6500,Nonresident,31,Bison,Antelope Island,Any Legal Weapon,,,0,0,0,,0,0,0,0,0.000,-31,-1,GREEN,Catching Up,HUNT POINT SUMMARY,Guaranteed At: 0 pts,Your Points: 31 pts,Status: 31 pts above guaranteed,Estimated Draw Odds: 0.000% from remaining pool,Trend: GREEN
BI6500,Nonresident,30,Bison,Antelope Island,Any Legal Weapon,,,0,0,0,,0,0,0,0,0.000,-30,-1,GREEN,Catching Up,HUNT POINT SUMMARY,Guaranteed At: 0 pts,Your Points: 30 pts,Status: 30 pts above guaranteed,Estimated Draw Odds: 0.000% from remaining pool,Trend: GREEN
BI6500,Nonresident,29,Bison,Antelope Island,Any Legal Weapon,,,0,0,0,,0,0,0,0,0.000,-29,-1,GREEN,Catching Up,HUNT POINT SUMMARY,Guaranteed At: 0 pts,Your Points: 29 pts,Status: 29 pts above guaranteed,Estimated Draw Odds: 0.000% from remaining pool,Trend: GREEN
BI6500,Nonresident,28,Bison,Antelope Island,Any Legal Weapon,,,0,0,0,,0,0,0,0,0.000,-28,-1,GREEN,Catching Up,HUNT POINT SUMMARY,Guaranteed At: 0 pts,Your Points: 28 pts,Status: 28 pts above guaranteed,Estimated Draw Odds: 0.000% from remaining pool,Trend: GREEN
BI6500,Nonresident,27,Bison,Antelope Island,Any Legal Weapon,,,0,0,0,,0,0,0,0,0.000,-27,-1,GREEN,Catching Up,HUNT POINT SUMMARY,Guaranteed At: 0 pts,Your Points: 27 pts,Status: 27 pts above guaranteed,Estimated Draw Odds: 0.000% from remaining pool,Trend: GREEN
BI6500,Nonresident,26,Bison,Antelope Island,Any Legal Weapon,,,0,0,0,,0,0,0,0,0.000,-26,-1,GREEN,Catching Up,HUNT POINT SUMMARY,Guaranteed At: 0 pts,Your Points: 26 pts,Status: 26 pts above guaranteed,Estimated Draw Odds: 0.000% from remaining pool,Trend: GREEN
BI6500,Nonresident,25,Bison,Antelope Island,Any Legal Weapon,,,0,0,0,,0,0,0,0,0.000,-25,-1,GREEN,Catching Up,HUNT POINT SUMMARY,Guaranteed At: 0 pts,Your Points: 25 pts,Status: 25 pts above guaranteed,Estimated Draw Odds: 0.000% from remaining pool,Trend: GREEN
BI6500,Nonresident,24,Bison,Antelope Island,Any Legal Weapon,,,0,0,0,,0,0,0,0,0.000,-24,-1,GREEN,Catching Up,HUNT POINT SUMMARY,Guaranteed At: 0 pts,Your Points: 24 pts,Status: 24 pts above guaranteed,Estimated Draw Odds: 0.000% from remaining pool,Trend: GREEN
BI6500,Nonresident,23,Bison,Antelope Island,Any Legal Weapon,,,0,0,0,,0,0,0,0,0.000,-23,-1,GREEN,Catching Up,HUNT POINT SUMMARY,Guaranteed At: 0 pts,Your Points: 23 pts,Status: 23 pts above guaranteed,Estimated Draw Odds: 0.000% from remaining pool,Trend: GREEN
BI6500,Nonresident,22,Bison,Antelope Island,Any Legal Weapon,,,0,0,0,,0,0,0,0,0.000,-22,-1,GREEN,Catching Up,HUNT POINT SUMMARY,Guaranteed At: 0 pts,Your Points: 22 pts,Status: 22 pts above guaranteed,Estimated Draw Odds: 0.000% from remaining pool,Trend: GREEN
BI6500,Nonresident,21,Bison,Antelope Island,Any Legal Weapon,,,0,0,0,,0,0,0,0,0.000,-21,-1,GREEN,Catching Up,HUNT POINT SUMMARY,Guaranteed At: 0 pts,Your Points: 21 pts,Status: 21 pts above guaranteed,Estimated Draw Odds: 0.000% from remaining pool,Trend: GREEN
BI6500,Nonresident,20,Bison,Antelope Island,Any Legal Weapon,,,0,0,0,,0,0,0,0,0.000,-20,-1,GREEN,Catching Up,HUNT POINT SUMMARY,Guaranteed At: 0 pts,Your Points: 20 pts,Status: 20 pts above guaranteed,Estimated Draw Odds: 0.000% from remaining pool,Trend: GREEN
BI6500,Nonresident,19,Bison,Antelope Island,Any Legal Weapon,,,0,0,0,,0,0,0,0,0.000,-19,-1,GREEN,Catching Up,HUNT POINT SUMMARY,Guaranteed At: 0 pts,Your Points: 19 pts,Status: 19 pts above guaranteed,Estimated Draw Odds: 0.000% from remaining pool,Trend: GREEN
BI6500,Nonresident,18,Bison,Antelope Island,Any Legal Weapon,,,0,0,0,,0,0,0,0,0.000,-18,-1,GREEN,Catching Up,HUNT POINT SUMMARY,Guaranteed At: 0 pts,Your Points: 18 pts,Status: 18 pts above guaranteed,Estimated Draw Odds: 0.000% from remaining pool,Trend: GREEN
BI6500,Nonresident,17,Bison,Antelope Island,Any Legal Weapon,,,0,0,0,,0,0,0,0,0.000,-17,-1,GREEN,Catching Up,HUNT POINT SUMMARY,Guaranteed At: 0 pts,Your Points: 17 pts,Status: 17 pts above guaranteed,Estimated Draw Odds: 0.000% from remaining pool,Trend: GREEN
BI6500,Nonresident,16,Bison,Antelope Island,Any Legal Weapon,,,0,0,0,,0,0,0,0,0.000,-16,-1,GREEN,Catching Up,HUNT POINT SUMMARY,Guaranteed At: 0 pts,Your Points: 16 pts,Status: 16 pts above guaranteed,Estimated Draw Odds: 0.000% from remaining pool,Trend: GREEN
BI6500,Nonresident,15,Bison,Antelope Island,Any Legal Weapon,,,0,0,0,,0,0,0,0,0.000,-15,-1,GREEN,Catching Up,HUNT POINT SUMMARY,Guaranteed At: 0 pts,Your Points: 15 pts,Status: 15 pts above guaranteed,Estimated Draw Odds: 0.000% from remaining pool,Trend: GREEN
BI6500,Nonresident,14,Bison,Antelope Island,Any Legal Weapon,,,0,0,0,,0,0,0,0,0.000,-14,-1,GREEN,Catching Up,HUNT POINT SUMMARY,Guaranteed At: 0 pts,Your Points: 14 pts,Status: 14 pts above guaranteed,Estimated Draw Odds: 0.000% from remaining pool,Trend: GREEN
BI6500,Nonresident,13,Bison,Antelope Island,Any Legal Weapon,,,0,0,0,,0,0,0,0,0.000,-13,-1,GREEN,Catching Up,HUNT POINT SUMMARY,Guaranteed At: 0 pts,Your Points: 13 pts,Status: 13 pts above guaranteed,Estimated Draw Odds: 0.000% from remaining pool,Trend: GREEN
BI6500,Nonresident,12,Bison,Antelope Island,Any Legal Weapon,,,0,0,0,,0,0,0,0,0.000,-12,-1,GREEN,Catching Up,HUNT POINT SUMMARY,Guaranteed At: 0 pts,Your Points: 12 pts,Status: 12 pts above guaranteed,Estimated Draw Odds: 0.000% from remaining pool,Trend: GREEN
BI6500,Nonresident,11,Bison,Antelope Island,Any Legal Weapon,,,0,0,0,,0,0,0,0,0.000,-11,-1,GREEN,Catching Up,HUNT POINT SUMMARY,Guaranteed At: 0 pts,Your Points: 11 pts,Status: 11 pts above guaranteed,Estimated Draw Odds: 0.000% from remaining pool,Trend: GREEN
BI6500,Nonresident,10,Bison,Antelope Island,Any Legal Weapon,,,0,0,0,,0,0,0,0,0.000,-10,-1,GREEN,Catching Up,HUNT POINT SUMMARY,Guaranteed At: 0 pts,Your Points: 10 pts,Status: 10 pts above guaranteed,Estimated Draw Odds: 0.000% from remaining pool,Trend: GREEN
BI6500,Nonresident,9,Bison,Antelope Island,Any Legal Weapon,,,0,0,0,,0,0,0,0,0.000,-9,-1,GREEN,Catching Up,HUNT POINT SUMMARY,Guaranteed At: 0 pts,Your Points: 9 pts,Status: 9 pts above guaranteed,Estimated Draw Odds: 0.000% from remaining pool,Trend: GREEN
BI6500,Nonresident,8,Bison,Antelope Island,Any Legal Weapon,,,0,0,0,,0,0,0,0,0.000,-8,-1,GREEN,Catching Up,HUNT POINT SUMMARY,Guaranteed At: 0 pts,Your Points: 8 pts,Status: 8 pts above guaranteed,Estimated Draw Odds: 0.000% from remaining pool,Trend: GREEN
BI6500,Nonresident,7,Bison,Antelope Island,Any Legal Weapon,,,0,0,0,,0,0,0,0,0.000,-7,-1,GREEN,Catching Up,HUNT POINT SUMMARY,Guaranteed At: 0 pts,Your Points: 7 pts,Status: 7 pts above guaranteed,Estimated Draw Odds: 0.000% from remaining pool,Trend: GREEN
BI6500,Nonresident,6,Bison,Antelope Island,Any Legal Weapon,,,0,0,0,,0,0,0,0,0.000,-6,-1,GREEN,Catching Up,HUNT POINT SUMMARY,Guaranteed At: 0 pts,Your Points: 6 pts,Status: 6 pts above guaranteed,Estimated Draw Odds: 0.000% from remaining pool,Trend: GREEN
BI6500,Nonresident,5,Bison,Antelope Island,Any Legal Weapon,,,0,0,0,,0,0,0,0,0.000,-5,-1,GREEN,Catching Up,HUNT POINT SUMMARY,Guaranteed At: 0 pts,Your Points: 5 pts,Status: 5 pts above guaranteed,Estimated Draw Odds: 0.000% from remaining pool,Trend: GREEN
BI6500,Nonresident,4,Bison,Antelope Island,Any Legal Weapon,,,0,0,0,,0,0,0,0,0.000,-4,-1,GREEN,Catching Up,HUNT POINT SUMMARY,Guaranteed At: 0 pts,Your Points: 4 pts,Status: 4 pts above guaranteed,Estimated Draw Odds: 0.000% from remaining pool,Trend: GREEN
BI6500,Nonresident,3,Bison,Antelope Island,Any Legal Weapon,,,0,0,0,,0,0,0,0,0.000,-3,-1,GREEN,Catching Up,HUNT POINT SUMMARY,Guaranteed At: 0 pts,Your Points: 3 pts,Status: 3 pts above guaranteed,Estimated Draw Odds: 0.000% from remaining pool,Trend: GREEN
BI6500,Nonresident,2,Bison,Antelope Island,Any Legal Weapon,,,0,0,0,,0,0,0,0,0.000,-2,-1,GREEN,Catching Up,HUNT POINT SUMMARY,Guaranteed At: 0 pts,Your Points: 2 pts,Status: 2 pts above guaranteed,Estimated Draw Odds: 0.000% from remaining pool,Trend: GREEN
