hunt_code,residency,points,public_permits_2025,public_permits_2026,public_permits_2026_source,max_point_permits_2025,max_point_permits_2026,random_permits_2025,random_permits_2026,guaranteed_at_2025,guaranteed_at_2026,permit_delta_2025_to_2026,projected_applicants_2026_source,guaranteed_delta_2025_to_2026,applicants_above,applicants_at_level,random_draw_odds_2026,gap,delta_gap,status,trend,draw_outlook
BI6500,Nonresident,32,0,0,posted_2026,0,0,0,0,0,0,0,projected_2026,0,0,0,0.000,-32,-1,MAX POOL,GREEN,GREEN LIGHT
BI6500,Nonresident,31,0,0,posted_2026,0,0,0,0,0,0,0,projected_2026,0,0,0,0.000,-31,-1,MAX POOL,GREEN,GREEN LIGHT
BI6500,Nonresident,30,0,0,posted_2026,0,0,0,0,0,0,0,projected_2026,0,0,0,0.000,-30,-1,MAX POOL,GREEN,GREEN LIGHT
BI6500,Nonresident,29,0,0,posted_2026,0,0,0,0,0,0,0,projected_2026,0,0,0,0.000,-29,-1,MAX POOL,GREEN,GREEN LIGHT
BI6500,Nonresident,28,0,0,posted_2026,0,0,0,0,0,0,0,projected_2026,0,0,0,0.000,-28,-1,MAX POOL,GREEN,GREEN LIGHT
BI6500,Nonresident,27,0,0,posted_2026,0,0,0,0,0,0,0,projected_2026,0,0,0,0.000,-27,-1,MAX POOL,GREEN,GREEN LIGHT
BI6500,Nonresident,26,0,0,posted_2026,0,0,0,0,0,0,0,projected_2026,0,0,0,0.000,-26,-1,MAX POOL,GREEN,GREEN LIGHT
BI6500,Nonresident,25,0,0,posted_2026,0,0,0,0,0,0,0,projected_2026,0,0,0,0.000,-25,-1,MAX POOL,GREEN,GREEN LIGHT
BI6500,Nonresident,24,0,0,posted_2026,0,0,0,0,0,0,0,projected_2026,0,0,0,0.000,-24,-1,MAX POOL,GREEN,GREEN LIGHT
BI6500,Nonresident,23,0,0,posted_2026,0,0,0,0,0,0,0,projected_2026,0,0,0,0.000,-23,-1,MAX POOL,GREEN,GREEN LIGHT
BI6500,Nonresident,22,0,0,posted_2026,0,0,0,0,0,0,0,projected_2026,0,0,0,0.000,-22,-1,MAX POOL,GREEN,GREEN LIGHT
BI6500,Nonresident,21,0,0,posted_2026,0,0,0,0,0,0,0,projected_2026,0,0,0,0.000,-21,-1,MAX POOL,GREEN,GREEN LIGHT
BI6500,Nonresident,20,0,0,posted_2026,0,0,0,0,0,0,0,projected_2026,0,0,0,0.000,-20,-1,MAX POOL,GREEN,GREEN LIGHT
BI6500,Nonresident,19,0,0,posted_2026,0,0,0,0,0,0,0,projected_2026,0,0,0,0.000,-19,-1,MAX POOL,GREEN,GREEN LIGHT
BI6500,Nonresident,18,0,0,posted_2026,0,0,0,0,0,0,0,projected_2026,0,0,0,0.000,-18,-1,MAX POOL,GREEN,GREEN LIGHT
BI6500,Nonresident,17,0,0,posted_2026,0,0,0,0,0,0,0,projected_2026,0,0,0,0.000,-17,-1,MAX POOL,GREEN,GREEN LIGHT
BI6500,Nonresident,16,0,0,posted_2026,0,0,0,0,0,0,0,projected_2026,0,0,0,0.000,-16,-1,MAX POOL,GREEN,GREEN LIGHT
BI6500,Nonresident,15,0,0,posted_2026,0,0,0,0,0,0,0,projected_2026,0,0,0,0.000,-15,-1,MAX POOL,GREEN,GREEN LIGHT
BI6500,Nonresident,14,0,0,posted_2026,0,0,0,0,0,0,0,projected_2026,0,0,0,0.000,-14,-1,MAX POOL,GREEN,GREEN LIGHT
BI6500,Nonresident,13,0,0,posted_2026,0,0,0,0,0,0,0,projected_2026,0,0,0,0.000,-13,-1,MAX POOL,GREEN,GREEN LIGHT
BI6500,Nonresident,12,0,0,posted_2026,0,0,0,0,0,0,0,projected_2026,0,0,0,0.000,-12,-1,MAX POOL,GREEN,GREEN LIGHT
BI6500,Nonresident,11,0,0,posted_2026,0,0,0,0,0,0,0,projected_2026,0,0,0,0.000,-11,-1,MAX POOL,GREEN,GREEN LIGHT
BI6500,Nonresident,10,0,0,posted_2026,0,0,0,0,0,0,0,projected_2026,0,0,0,0.000,-10,-1,MAX POOL,GREEN,GREEN LIGHT
BI6500,Nonresident,9,0,0,posted_2026,0,0,0,0,0,0,0,projected_2026,0,0,0,0.000,-9,-1,MAX POOL,GREEN,GREEN LIGHT
BI6500,Nonresident,8,0,0,posted_2026,0,0,0,0,0,0,0,projected_2026,0,0,0,0.000,-8,-1,MAX POOL,GREEN,GREEN LIGHT
BI6500,Nonresident,7,0,0,posted_2026,0,0,0,0,0,0,0,projected_2026,0,0,0,0.000,-7,-1,MAX POOL,GREEN,GREEN LIGHT
BI6500,Nonresident,6,0,0,posted_2026,0,0,0,0,0,0,0,projected_2026,0,0,0,0.000,-6,-1,MAX POOL,GREEN,GREEN LIGHT
BI6500,Nonresident,5,0,0,posted_2026,0,0,0,0,0,0,0,projected_2026,0,0,0,0.000,-5,-1,MAX POOL,GREEN,GREEN LIGHT
BI6500,Nonresident,4,0,0,posted_2026,0,0,0,0,0,0,0,projected_2026,0,0,0,0.000,-4,-1,MAX POOL,GREEN,GREEN LIGHT
BI6500,Nonresident,3,0,0,posted_2026,0,0,0,0,0,0,0,projected_2026,0,0,0,0.000,-3,-1,MAX POOL,GREEN,GREEN LIGHT
BI6500,Nonresident,2,0,0,posted_2026,0,0,0,0,0,0,0,projected_2026,0,0,0,0.000,-2,-1,MAX POOL,GREEN,GREEN LIGHT
BI6500,Nonresident,1,0,0,posted_2026,0,0,0,0,0,0,0,projected_2026,0,0,0,0.000,-1,-1,MAX POOL,GREEN,GREEN LIGHT
BI6500,Nonresident,0,0,0,posted_2026,0,0,0,0,0,0,0,projected_2026,0,0,0,0.000,0,-1,MAX POOL,GREEN,GREEN LIGHT
BI6503,Resident,32,4,4,posted_2026,2,2,2,2,29,30,0,projected_2026,1,0,0,0.000,-2,0,MAX POOL,YELLOW,GREEN LIGHT
BI6503,Resident,31,4,4,posted_2026,2,2,2,2,29,30,0,projected_2026,1,0,0,0.000,-1,0,MAX POOL,YELLOW,GREEN LIGHT
BI6503,Resident,30,4,4,posted_2026,2,2,2,2,29,30,0,projected_2026,1,0,0,0.000,0,0,MAX POOL,YELLOW,GREEN LIGHT
BI6503,Resident,29,4,4,posted_2026,2,2,2,2,29,30,0,projected_2026,1,0,11,0.146,1,0,ON EDGE,YELLOW,MAY DRAW IN 5-10 YEARS
BI6503,Resident,28,4,4,posted_2026,2,2,2,2,29,30,0,projected_2026,1,11,33,0.120,2,0,BEHIND,YELLOW,MAY DRAW IN 5-10 YEARS
BI6503,Resident,27,4,4,posted_2026,2,2,2,2,29,30,0,projected_2026,1,44,42,0.136,3,0,BEHIND,YELLOW,MAY DRAW IN 5-10 YEARS
BI6503,Resident,26,4,4,posted_2026,2,2,2,2,29,30,0,projected_2026,1,86,56,0.122,4,0,BEHIND,YELLOW,MAY DRAW IN 5-10 YEARS
BI6503,Resident,25,4,4,posted_2026,2,2,2,2,29,30,0,projected_2026,1,142,70,0.138,5,0,BEHIND,YELLOW,MAY DRAW IN 5-10 YEARS
BI6503,Resident,24,4,4,posted_2026,2,2,2,2,29,30,0,projected_2026,1,212,57,0.096,6,0,BEHIND,YELLOW,LONG ODDS
BI6503,Resident,23,4,4,posted_2026,2,2,2,2,29,30,0,projected_2026,1,269,63,0.098,7,0,BEHIND,YELLOW,LONG ODDS
BI6503,Resident,22,4,4,posted_2026,2,2,2,2,29,30,0,projected_2026,1,332,48,0.120,8,0,BEHIND,YELLOW,LONG ODDS
BI6503,Resident,21,4,4,posted_2026,2,2,2,2,29,30,0,projected_2026,1,380,63,0.090,9,0,BEHIND,YELLOW,LONG ODDS
BI6503,Resident,20,4,4,posted_2026,2,2,2,2,29,30,0,projected_2026,1,443,73,0.088,10,0,BEHIND,YELLOW,LONG ODDS
BI6503,Resident,19,4,4,posted_2026,2,2,2,2,29,30,0,projected_2026,1,516,82,0.088,11,0,BEHIND,YELLOW,LONG ODDS
BI6503,Resident,18,4,4,posted_2026,2,2,2,2,29,30,0,projected_2026,1,598,104,0.092,12,0,BEHIND,YELLOW,LONG ODDS
